date,city,avg_temp_f,temp_delta_f,energy_consumption
2025-05-22,New York,40.91,0.5399999999999991,374748
2025-05-22,New York,40.91,0.5399999999999991,374864
2025-05-22,New York,40.91,0.5399999999999991,359885
2025-05-22,New York,40.91,0.5399999999999991,359449
2025-05-22,New York,40.91,0.5399999999999991,359214
2025-05-22,New York,40.91,0.5399999999999991,359676
2025-05-22,New York,40.91,0.5399999999999991,359885
2025-05-22,New York,40.91,0.5399999999999991,340424
2025-05-22,New York,40.91,0.5399999999999991,341179
2025-05-22,New York,40.91,0.5399999999999991,341273
2025-05-22,New York,40.91,0.5399999999999991,340942
2025-05-22,New York,40.91,0.5399999999999991,340424
2025-05-22,New York,40.91,0.5399999999999991,-34440
2025-05-22,New York,40.91,0.5399999999999991,-33433
2025-05-22,New York,40.91,0.5399999999999991,-33179
2025-05-22,New York,40.91,0.5399999999999991,-33806
2025-05-22,New York,40.91,0.5399999999999991,-34440
2025-05-23,New York,41.900000000000006,2.8800000000000026,364713
2025-05-23,New York,41.900000000000006,2.8800000000000026,365001
2025-05-23,New York,41.900000000000006,2.8800000000000026,365159
2025-05-23,New York,41.900000000000006,2.8800000000000026,364854
2025-05-23,New York,41.900000000000006,2.8800000000000026,364713
2025-05-23,New York,41.900000000000006,2.8800000000000026,353785
2025-05-23,New York,41.900000000000006,2.8800000000000026,353734
2025-05-23,New York,41.900000000000006,2.8800000000000026,353673
2025-05-23,New York,41.900000000000006,2.8800000000000026,353768
2025-05-23,New York,41.900000000000006,2.8800000000000026,353785
2025-05-23,New York,41.900000000000006,2.8800000000000026,324636
2025-05-23,New York,41.900000000000006,2.8800000000000026,324806
2025-05-23,New York,41.900000000000006,2.8800000000000026,324973
2025-05-23,New York,41.900000000000006,2.8800000000000026,324664
2025-05-23,New York,41.900000000000006,2.8800000000000026,324636
2025-05-23,New York,41.900000000000006,2.8800000000000026,-40077
2025-05-23,New York,41.900000000000006,2.8800000000000026,-40195
2025-05-23,New York,41.900000000000006,2.8800000000000026,-40186
2025-05-23,New York,41.900000000000006,2.8800000000000026,-40190
2025-05-23,New York,41.900000000000006,2.8800000000000026,-40077
2025-05-24,New York,42.08,2.8800000000000026,329213
2025-05-24,New York,42.08,2.8800000000000026,329979
2025-05-24,New York,42.08,2.8800000000000026,330395
2025-05-24,New York,42.08,2.8800000000000026,329594
2025-05-24,New York,42.08,2.8800000000000026,329213
2025-05-24,New York,42.08,2.8800000000000026,328871
2025-05-24,New York,42.08,2.8800000000000026,329518
2025-05-24,New York,42.08,2.8800000000000026,329857
2025-05-24,New York,42.08,2.8800000000000026,329193
2025-05-24,New York,42.08,2.8800000000000026,328871
2025-05-24,New York,42.08,2.8800000000000026,303995
2025-05-24,New York,42.08,2.8800000000000026,304375
2025-05-24,New York,42.08,2.8800000000000026,304764
2025-05-24,New York,42.08,2.8800000000000026,304133
2025-05-24,New York,42.08,2.8800000000000026,303995
2025-05-24,New York,42.08,2.8800000000000026,-25218
2025-05-24,New York,42.08,2.8800000000000026,-25604
2025-05-24,New York,42.08,2.8800000000000026,-25631
2025-05-24,New York,42.08,2.8800000000000026,-25461
2025-05-24,New York,42.08,2.8800000000000026,-25218
2025-05-25,New York,42.620000000000005,2.520000000000003,317380
2025-05-25,New York,42.620000000000005,2.520000000000003,317665
2025-05-25,New York,42.620000000000005,2.520000000000003,317846
2025-05-25,New York,42.620000000000005,2.520000000000003,317513
2025-05-25,New York,42.620000000000005,2.520000000000003,317380
2025-05-25,New York,42.620000000000005,2.520000000000003,314933
2025-05-25,New York,42.620000000000005,2.520000000000003,314962
2025-05-25,New York,42.620000000000005,2.520000000000003,315041
2025-05-25,New York,42.620000000000005,2.520000000000003,314941
2025-05-25,New York,42.620000000000005,2.520000000000003,314933
2025-05-25,New York,42.620000000000005,2.520000000000003,296643
2025-05-25,New York,42.620000000000005,2.520000000000003,296237
2025-05-25,New York,42.620000000000005,2.520000000000003,296396
2025-05-25,New York,42.620000000000005,2.520000000000003,296186
2025-05-25,New York,42.620000000000005,2.520000000000003,296643
2025-05-25,New York,42.620000000000005,2.520000000000003,-20737
2025-05-25,New York,42.620000000000005,2.520000000000003,-21428
2025-05-25,New York,42.620000000000005,2.520000000000003,-21450
2025-05-25,New York,42.620000000000005,2.520000000000003,-21327
2025-05-25,New York,42.620000000000005,2.520000000000003,-20737
2025-05-26,New York,43.25,3.780000000000001,315288
2025-05-26,New York,43.25,3.780000000000001,315200
2025-05-26,New York,43.25,3.780000000000001,315141
2025-05-26,New York,43.25,3.780000000000001,315227
2025-05-26,New York,43.25,3.780000000000001,315288
2025-05-26,New York,43.25,3.780000000000001,319129
2025-05-26,New York,43.25,3.780000000000001,318914
2025-05-26,New York,43.25,3.780000000000001,318787
2025-05-26,New York,43.25,3.780000000000001,319022
2025-05-26,New York,43.25,3.780000000000001,319129
2025-05-26,New York,43.25,3.780000000000001,295706
2025-05-26,New York,43.25,3.780000000000001,297044
2025-05-26,New York,43.25,3.780000000000001,297316
2025-05-26,New York,43.25,3.780000000000001,296449
2025-05-26,New York,43.25,3.780000000000001,295706
2025-05-26,New York,43.25,3.780000000000001,-19582
2025-05-26,New York,43.25,3.780000000000001,-18156
2025-05-26,New York,43.25,3.780000000000001,-17825
2025-05-26,New York,43.25,3.780000000000001,-18778
2025-05-26,New York,43.25,3.780000000000001,-19582
2025-05-27,New York,43.79,3.0600000000000023,354571
2025-05-27,New York,43.79,3.0600000000000023,353755
2025-05-27,New York,43.79,3.0600000000000023,353250
2025-05-27,New York,43.79,3.0600000000000023,354208
2025-05-27,New York,43.79,3.0600000000000023,354571
2025-05-27,New York,43.79,3.0600000000000023,360571
2025-05-27,New York,43.79,3.0600000000000023,359705
2025-05-27,New York,43.79,3.0600000000000023,359185
2025-05-27,New York,43.79,3.0600000000000023,360164
2025-05-27,New York,43.79,3.0600000000000023,360571
2025-05-27,New York,43.79,3.0600000000000023,315648
2025-05-27,New York,43.79,3.0600000000000023,315929
2025-05-27,New York,43.79,3.0600000000000023,315651
2025-05-27,New York,43.79,3.0600000000000023,316016
2025-05-27,New York,43.79,3.0600000000000023,315648
2025-05-27,New York,43.79,3.0600000000000023,-38923
2025-05-27,New York,43.79,3.0600000000000023,-37826
2025-05-27,New York,43.79,3.0600000000000023,-37599
2025-05-27,New York,43.79,3.0600000000000023,-38192
2025-05-27,New York,43.79,3.0600000000000023,-38923
2025-05-28,New York,42.53,2.3400000000000034,358824
2025-05-28,New York,42.53,2.3400000000000034,359003
2025-05-28,New York,42.53,2.3400000000000034,359169
2025-05-28,New York,42.53,2.3400000000000034,358887
2025-05-28,New York,42.53,2.3400000000000034,358824
2025-05-28,New York,42.53,2.3400000000000034,356781
2025-05-28,New York,42.53,2.3400000000000034,357090
2025-05-28,New York,42.53,2.3400000000000034,357302
2025-05-28,New York,42.53,2.3400000000000034,356910
2025-05-28,New York,42.53,2.3400000000000034,356781
2025-05-28,New York,42.53,2.3400000000000034,326359
2025-05-28,New York,42.53,2.3400000000000034,326725
2025-05-28,New York,42.53,2.3400000000000034,326637
2025-05-28,New York,42.53,2.3400000000000034,326770
2025-05-28,New York,42.53,2.3400000000000034,326359
2025-05-28,New York,42.53,2.3400000000000034,-32465
2025-05-28,New York,42.53,2.3400000000000034,-32278
2025-05-28,New York,42.53,2.3400000000000034,-32532
2025-05-28,New York,42.53,2.3400000000000034,-32117
2025-05-28,New York,42.53,2.3400000000000034,-32465
